858,11
784,12
582,33
1089,53
688,69
648,19
775,12
878,8 32
320,null
104,67
20,74
12,56
29,65
1241,68 71
1025,32
15,56
309,16
1178,41
1188,77
659,32
929,22 24
186,23
422,45 69
48,20 23
518,59
360,22 5
159,6 7
785,12 13
495,56
780,2
1282,8
251,56 62
563,65 70
87,23
1026,32
1233,73 75
903,33
921,32
151,28
801,43
5,63 67
601,3
136,71
39,29
580,35 36
168,17 76
260,44
1222,24 28
235,29
1068,27
645,25
439,70
788,13 2
994,9
445,70 71
75,57
238,28
831,10
1202,71
63,null
54,14 16
42,26
82,26
1003,2
492,75
49,20 22
299,17 76
432,35 34
433,35
1198,49 73
436,35 34
437,35
438,35
465,73
887,39 41
298,6
779,13 2
572,25
867,28
17,56
632,null
717,35
41,26 29
273,71
1305,28 32
13,56
311,16
76,30 57
624,19
126,6
608,36 39
152,28
496,56
321,null
352,24 28
400,21 22
552,30 31
634,64
461,51
462,51 52
646,25
759,8
604,41
297,6
224,28
262,44 47 48
796,50 51
962,8
1217,31 60
515,57 58
470,49
800,43 45 46
1206,68
475,48
476,46 48 52
882,8 7
565,64 65
154,24
528,12
955,8
835,null
1196,49
274,44 49 71
1038,32
937,22
248,56
418,70
474,48 51
196,25
708,69
285,15
387,31 59
970,35 34
876,7
257,71
1197,49
170,62
332,72
692,40
709,69
205,23
551,30
873,8
47,23
847,9
330,72
11,40
304,15
236,29
871,8 32
783,12
576,25
417,70
339,63 66
1187,1
943,11 15
1219,28 31
1103,null
446,71
593,8
310,16
378,66
1255,28
202,23 25
538,31
523,null
524,12
782,4 77
250,56
1303,32
263,48
888,39
91,16 21
616,32
542,31 34
212,7
1050,28
275,44
689,42 69
946,11 10
1106,null
639,56
458,50 51
1126,null
55,14
197,25
537,30 31
68,65
997,12
753,52
605,39 41
1033,32
1258,24 28
828,10
239,28
1230,6
366,4
860,11
832,null
841,17
419,69
647,19 25
807,50 51
469,49
721,22 24
530,12
292,16 5
561,70
562,70
125,6 7
848,9
214,null
200,25
277,44 45
142,61
296,6
769,17 18
195,8
1300,28 32
503,59
380,66
207,24
218,29
494,56
427,73
840,17
913,33
643,25
1261,8 7
459,51
1040,32
781,4 2
256,71
1245,61 68
830,10
1236,73
36,30 57
628,15
809,45 48
737,22
23,null
93,16
237,28 29
226,28
443,70
947,10
739,16 21
1116,74 75
908,8 32
490,49 50
96,13
1029,32
544,33
641,25
384,58
1201,71 73
1181,41
16,56
690,42
1299,32
852,11
1049,28
206,23 24
1247,61
826,11
506,34 60
81,26 29
512,56 57
485,75
521,34 60
234,29
409,44 71
1307,32
703,44
86,23
399,22
1203,71
630,null
631,null
770,17
359,22
6,67
120,24
1037,32
1148,null
1227,7
356,22 24
144,61
231,25
350,28
1186,1
34,57
452,71
811,45
941,15 16
971,35
221,28 29
357,22
372,null
486,49 75
1244,68
564,65
59,74
654,32
655,32
713,38
190,24
216,29
388,31
377,66
776,12 13
661,32
668,17
669,null
26,70
312,16
671,76
672,76
1200,73
936,22 24
675,34
676,34
677,34
223,28
942,15
787,13
540,31
682,49
185,null
686,44 69
752,52
1063,28
934,24
80,29
718,35
61,null
301,17
90,21 22
44,23 26
143,61
511,56
637,56
62,null
108,61
531,29
911,8
483,50
276,44
859,11
701,49
555,31
288,16
124,7
635,64
1193,33
957,8
1028,32
147,59
1101,29
757,8
1286,8
1285,8
768,18
1105,29
774,12
447,71
559,33
1062,28
51,21 22
471,47 49
1309,28
722,22
723,22
724,21 22
725,21
726,16 21
727,16
728,14 16
729,14 16
249,56
730,11 12 14
731,11
732,11
733,11 10
735,22 24
736,22
938,22
199,25
891,6
8,67 68
740,22
741,21 22
742,21
743,16 21
744,16
745,16
746,12 14 16
747,11 12
748,11
749,11 10
570,56
750,10
751,52
398,22
829,10
754,52
228,33
1212,61
760,8
315,6 5
383,58 63
777,13
825,11 15
986,51
1304,28
764,56
67,65 70
600,3
64,70
99,71 73
368,75
1052,28
361,5
35,57
845,10
19,74
322,null
280,17
333,70 72
225,28
884,7
204,23
1265,6
